Numbers,NAME,pl_orbper,pl_semi_min,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radius_au,pl_radj,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_radius,st_sun_rad,size_star_planet,j_rad,sun_rad
95,HAT-P-4 b,3.056536,0.04438,0.04438,0,0.671,0.00060884,1.274,0.403,314,11.118,5860,1.26,0.007440749,1.6,12.22122447,0.000477895,0.004650468
116,HAT-P-42 b,4.641878,0.0575,0.0575,0,1.044,0.00061171,1.28,0.61,447,12.168,5743,1.18,0.007115216,1.53,11.63176521,0.000477895,0.004650468
142,HAT-P-43 b,3.332687,0.0443,0.0443,0,0.662,0.00061218,1.281,0.39,542,13.356,5645,1.05,0.005115515,1.1,8.35617875,0.000477895,0.004650468
12,WASP-14 b,2.243752,0.035850632,0.036,0.091,7.341,0.00061218,1.281,4.656,160,9.75,6475,1.21,0.006092113,1.31,9.951449239,0.000477895,0.004650468
37,HAT-P-50 b,3.1220109,0.044999457,0.0453,0.115,1.35,0.00061553,1.288,0.78,497,11.762,6280,1.27,0.007905795,1.7,12.84390914,0.000477895,0.004650468
46,HAT-P-16 b,2.77596,0.041273229,0.0413,0.036,4.193,0.00061601,1.289,2.42,235,10.812,6158,1.22,0.00576658,1.24,9.361230393,0.000477895,0.004650468
59,CoRoT-19 b,3.89713,0.051742755,0.0518,0.047,1.11,0.00061649,1.29,0.71,770,14.007,6090,1.21,0.007673272,1.65,12.44681974,0.000477895,0.004650468
114,Kepler-41 b,1.8555582,0.03101,0.03101,0,0.56,0.00061649,1.29,0.33,770,14.465,5750,1.15,0.005999104,1.29,9.731149981,0.000477895,0.004650468
178,HAT-P-51 b,4.2180278,0.050305094,0.05069,0.123,0.309,0.00061792,1.293,0.178,470,13.44,5449,0.98,0.004836487,1.04,7.827065723,0.000477895,0.004650468
119,HATS-16 b,2.686502,0.03744,0.03744,0,3.27,0.00062126,1.3,1.86,774,13.834,5738,0.97,0.00576658,1.24,9.282019982,0.000477895,0.004650468
130,WASP-135 b,1.4013794,0.0243,0.0243,0,1.9,0.00062126,1.3,1.16,300,13.28,5675,0.98,0.004464449,0.96,7.186079986,0.000477895,0.004650468
94,HATS-1 b,3.446459,0.044079161,0.0444,0.12,1.855,0.00062222,1.302,1.03,303,12.053,5870,0.99,0.004836487,1.04,7.772961582,0.000477895,0.004650468
179,CoRoT-18 b,1.9000693,0.029405448,0.0295,0.08,3.47,0.00062604,1.31,2.2,870,15,5440,0.95,0.004650468,1,7.428358764,0.000477895,0.004650468
108,Kepler-17 b,1.4857108,0.025908432,0.02591,0.011,2.45,0.00062604,1.31,1.35,800,14.141,5781,1.16,0.004882991,1.05,7.799776702,0.000477895,0.004650468
118,WASP-123 b,2.9776412,0.04263,0.04263,0,0.899,0.00062987,1.318,0.521,214,11.1,5740,1.17,0.005952599,1.28,9.450585717,0.000477895,0.004650468
78,HAT-P-53 b,1.9616241,0.0313051,0.03159,0.134,1.484,0.00062987,1.318,0.8,719,13.73,5956,1.09,0.005627066,1.21,8.933756811,0.000477895,0.004650468
22,WASP-7 b,4.954658,0.0618,0.0618,0,0.96,0.00063560,1.33,0.545,140,9.51,6400,1.28,0.006650169,1.43,10.46281539,0.000477895,0.004650468
7,HAT-P-6 b,3.852985,0.05235,0.05235,0,1.057,0.00063560,1.33,0.558,261,10.44,6570,1.29,0.006789683,1.46,10.68231502,0.000477895,0.004650468
58,HAT-P-35 b,3.646706,0.049784435,0.0498,0.025,1.054,0.00063656,1.332,0.55,535,12.46,6096,1.24,0.006696674,1.44,10.52016214,0.000477895,0.004650468
141,TrES-3 b,1.30618581,0.02282,0.02282,0,1.91,0.00063847,1.336,0.994,228,12.402,5650,0.93,0.003859888,0.83,6.045549763,0.000477895,0.004650468
150,HATS-18 b,0.8378434,0.017365675,0.01761,0.166,1.98,0.00063895,1.337,1.02,645,14.067,5600,1.04,0.004743477,1.02,7.423913972,0.000477895,0.004650468
81,WASP-114 b,1.5487743,0.028507947,0.02851,0.012,1.769,0.00063990,1.339,0.97,460,12.743,5940,1.29,0.006650169,1.43,10.39249027,0.000477895,0.004650468
33,HAT-P-30 b,2.810595,0.041874328,0.0419,0.035,0.711,0.00064038,1.34,0.37,193,10.419,6304,1.24,0.005673571,1.22,8.859703714,0.000477895,0.004650468
31,KELT-3 b,2.7033904,0.04122,0.04122,0,1.477,0.00064277,1.345,0.75,178,9.873,6306,1.28,0.006836188,1.47,10.63553195,0.000477895,0.004650468
21,HATS-12 b,3.142833,0.047776467,0.04795,0.085,2.38,0.00064516,1.35,1.19,981,12.756,6408,1.49,0.010277534,2.21,15.93025293,0.000477895,0.004650468
52,K2-34 b,2.995607,0.04419,0.04419,0,1.76,0.00064516,1.35,0.94,377,11.548,6132,1.28,0.007115216,1.53,11.02863664,0.000477895,0.004650468
214,WTS-2 b,1.0187068,0.01855,0.01855,0,1.12,0.00065137,1.363,0.54,1000,15.9,5000,0.82,0.003487851,0.75,5.354631317,0.000477895,0.004650468
107,WASP-58 b,5.01718,0.0561,0.0561,0,0.89,0.00065472,1.37,0.45,300,11.66,5800,0.94,0.005441047,1.17,8.310544144,0.000477895,0.004650468
27,HATS-3 b,3.547851,0.0485,0.0485,0,1.071,0.00065997,1.381,0.51,453,12.44,6351,1.21,0.006510655,1.4,9.865032565,0.000477895,0.004650468
99,WASP-13 b,4.353011,0.05362,0.05362,0,0.477,0.00066380,1.389,0.222,155,10.42,5826,1.09,0.00725473,1.56,10.92915333,0.000477895,0.004650468
38,WASP-62 b,4.411953,0.055435669,0.0567,0.21,0.57,0.00066427,1.39,0.279,160,10.3,6280,1.25,0.005952599,1.28,8.961058975,0.000477895,0.004650468
6,WASP-66 b,4.086052,0.054268665,0.0546,0.11,2.32,0.00066427,1.39,1.144,380,11.6,6580,1.3,0.008138319,1.75,12.25144782,0.000477895,0.004650468
158,WASP-19 b,0.78883899,0.016339967,0.01634,0.002,1.069,0.00066523,1.392,0.492,250,12.59,5568,0.9,0.004650468,1,6.990768664,0.000477895,0.004650468
29,HAT-P-9 b,3.92289,0.053,0.053,0,0.78,0.00066905,1.4,0.35,480,12.297,6350,1.28,0.006138618,1.32,9.175084267,0.000477895,0.004650468
201,WASP-67 b,4.61442,0.050655448,0.0517,0.2,0.42,0.00066905,1.4,0.213,225,12.5,5240,0.87,0.004045907,0.87,6.047214631,0.000477895,0.004650468
140,WASP-119 b,2.49979,0.036238892,0.0363,0.058,1.23,0.00066905,1.4,0.7,333,12.2,5650,1.02,0.005580562,1.2,8.340985698,0.000477895,0.004650468
24,WASP-3 b,1.8468355,0.031499858,0.0315,0.003,1.98,0.00066905,1.4,0.95,220,10.5,6400,1.23,0.006324636,1.36,9.453117124,0.000477895,0.004650468
91,WASP-113 b,4.54216875,0.05885,0.05885,0,0.475,0.00067335,1.409,0.228,360,11.771,5890,1.32,0.007487253,1.61,11.119341,0.000477895,0.004650468
0,HAT-P-49 b,2.691548,0.0438,0.0438,0,1.73,0.00067527,1.413,0.75,322,10.326,6820,1.54,0.008510356,1.83,12.60297556,0.000477895,0.004650468
156,WASP-63 b,4.37809,0.055993693,0.0574,0.22,0.38,0.00068339,1.43,0.173,330,11.2,5570,1.32,0.00874288,1.88,12.79339997,0.000477895,0.004650468
186,HATS-34 b,2.1061607,0.031474817,0.03166,0.108,0.941,0.00068339,1.43,0.4,532,13.849,5380,0.95,0.004557459,0.98,6.668899987,0.000477895,0.004650468
20,WASP-118 b,4.0460435,0.05453,0.05453,0,0.514,0.00068817,1.44,0.233,250,11.02,6410,1.32,0.007905795,1.7,11.48816317,0.000477895,0.004650468
129,CoRoT-12 b,2.828042,0.040061487,0.04016,0.07,0.917,0.00068817,1.44,0.411,1150,15.515,5675,1.08,0.005208524,1.12,7.568672207,0.000477895,0.004650468
198,WASP-140 b,2.2359835,0.032264305,0.0323,0.047,2.44,0.00068817,1.44,1.1,180,11.1,5260,0.9,0.004045907,0.87,5.879236447,0.000477895,0.004650468
72,KELT-15 b,3.329441,0.04613,0.04613,0,0.91,0.00068960,1.443,0.36,291,11.189,6003,1.18,0.006882693,1.48,9.980666647,0.000477895,0.004650468
26,Kepler-433 b,5.33408384,0.06741752,0.0679,0.119,2.82,0.00069295,1.45,1.13,1870,14.463,6360,1.46,0.010510057,2.26,15.16717169,0.000477895,0.004650468
65,WASP-71 b,2.9036747,0.04619,0.04619,0,2.242,0.00069773,1.46,0.94,345,10.56,6059,1.56,0.010510057,2.26,15.06328696,0.000477895,0.004650468
39,WASP-92 b,2.1746742,0.0348,0.0348,0,0.805,0.00069821,1.461,0.346,530,13.18,6280,1.19,0.006231627,1.34,8.925216272,0.000477895,0.004650468
82,WASP-20 b,4.8996284,0.06,0.06,0,0.311,0.00069868,1.462,0.132,210,10.68,5940,1.2,0.00646415,1.39,9.25191414,0.000477895,0.004650468
35,HATS-35 b,1.8209993,0.030455488,0.03199,0.306,1.222,0.00069964,1.464,0.484,557,12.56,6300,1.32,0.006650169,1.43,9.505153328,0.000477895,0.004650468
8,HAT-P-56 b,2.7908327,0.041000114,0.0423,0.246,2.18,0.00070059,1.466,0.86,310.5,10.908,6566,1.3,0.006650169,1.43,9.492185861,0.000477895,0.004650468
145,CoRoT-2 b,1.7429935,0.027977139,0.02798,0.0143,3.47,0.00070059,1.466,1.47,200,12.57,5625,0.96,0.004231926,0.91,6.040481912,0.000477895,0.004650468
14,WASP-120 b,3.6112706,0.051316433,0.0514,0.057,4.85,0.00070394,1.473,2,437,11,6450,1.39,0.008696375,1.87,12.35386997,0.000477895,0.004650468
42,WTS-1 b,3.352057,0.04676441,0.047,0.1,4.01,0.00071206,1.49,1.61,3200,16.13,6250,1.2,0.005348038,1.15,7.510619113,0.000477895,0.004650468
16,HAT-P-7 b,2.2047372,0.036759953,0.03676,0.0016,1.682,0.00071254,1.491,0.629,320,10.463,6441,1.47,0.008556861,1.84,12.00893089,0.000477895,0.004650468
17,HATS-27 b,4.637038,0.049729507,0.0611,0.581,0.53,0.00071684,1.5,0.18,840,12.766,6438,1.42,0.008091814,1.74,11.28813398,0.000477895,0.004650468
44,HAT-P-8 b,3.0763776,0.0487,0.0487,0,1.52,0.00071684,1.5,0.568,230,10.3,6200,1.28,0.007347739,1.58,10.25014465,0.000477895,0.004650468
64,HATS-11 b,3.6191613,0.04339123,0.04614,0.34,0.85,0.00072162,1.51,0.299,906,14.018,6060,1,0.006696674,1.44,9.280037068,0.000477895,0.004650468
71,WASP-142 b,2.052868,0.0347,0.0347,0,0.84,0.00073118,1.53,0.31,840,12.3,6010,1.33,0.007626767,1.64,10.43077514,0.000477895,0.004650468
1,KELT-7 b,2.7347749,0.04415,0.04415,0,1.28,0.00073261,1.533,0.442,129,8.54,6789,1.53,0.00804531,1.73,10.98166306,0.000477895,0.004650468
34,WASP-31 b,3.4059096,0.04659,0.04659,0,0.478,0.00074026,1.549,0.172,360,11.7,6302,1.16,0.005813085,1.25,7.852767899,0.000477895,0.004650468
76,WASP-74 b,2.13775,0.037,0.037,0,0.95,0.00074552,1.56,0.33,120,9.7,5970,1.48,0.007626767,1.64,10.23018331,0.000477895,0.004650468
19,HAT-P-39 b,3.54387,0.0509,0.0509,0,0.599,0.00075077,1.571,0.19,642,12.422,6430,1.4,0.007533758,1.62,10.03466771,0.000477895,0.004650468
73,HAT-P-66 b,2.972086,0.043452939,0.04363,0.09,0.783,0.00075985,1.59,0.242,927,12.993,6002,1.25,0.00874288,1.88,11.50601381,0.000477895,0.004650468
2,WASP-93 b,2.7325321,0.04211,0.04211,0,1.47,0.00076320,1.597,0.479,250,10.97,6700,1.33,0.007068711,1.52,9.261958654,0.000477895,0.004650468
18,WASP-90 b,3.916243,0.0562,0.0562,0,0.63,0.00077897,1.63,0.193,340,11.7,6430,1.55,0.009207926,1.98,11.82066071,0.000477895,0.004650468
67,HATS-31 b,3.37796,0.046484388,0.0478,0.233,0.88,0.00078375,1.64,0.243,872,13.105,6050,1.27,0.008696375,1.87,11.09588443,0.000477895,0.004650468
55,WASP-54 b,3.6936411,0.049757941,0.04987,0.067,0.636,0.00078996,1.653,0.188,200,10.42,6100,1.21,0.008510356,1.83,10.77314245,0.000477895,0.004650468
11,WASP-82 b,2.705782,0.0447,0.0447,0,1.24,0.00079809,1.67,0.354,200,10.1,6490,1.63,0.01013802,2.18,12.7029383,0.000477895,0.004650468
15,HAT-P-33 b,3.474474,0.0499,0.0499,0,0.762,0.00080573,1.686,0.2,387,11.188,6446,1.38,0.007626767,1.64,9.46565004,0.000477895,0.004650468
43,KELT-4 A b,2.9895932,0.04317,0.04317,0,0.902,0.00081194,1.699,0.228,210,9.98,6206,1.2,0.007440749,1.6,9.164120052,0.000477895,0.004650468
57,WASP-78 b,2.17517632,0.0362,0.0362,0,0.89,0.00081242,1.7,0.2394,550,12,6100,1.17,0.007440749,1.6,9.158729394,0.000477895,0.004650468
47,WASP-94 A b,3.9501907,0.05453327,0.055,0.13,0.452,0.00082198,1.72,0.118,180,10.1,6153,1.45,0.007533758,1.62,9.165385447,0.000477895,0.004650468
61,HAT-P-40 b,4.457243,0.0608,0.0608,0,0.615,0.00082676,1.73,0.15,501,11.699,6080,1.51,0.010277534,2.21,12.43112223,0.000477895,0.004650468
